Country,First Opening,country_code,outlets_per_mil,num_outlets,lat,long
USA,5/15/1940,USA,40.807,13375,32.45,-99.74
USA,5/15/1940,USA,40.807,13375,41.08,-81.52
USA,5/15/1940,USA,40.807,13375,37.77,-122.26
USA,5/15/1940,USA,40.807,13375,44.62,-123.09
USA,5/15/1940,USA,40.807,13375,31.58,-84.18
USA,5/15/1940,USA,40.807,13375,42.67,-73.8
USA,5/15/1940,USA,40.807,13375,35.12,-106.62
USA,5/15/1940,USA,40.807,13375,38.82,-77.09
USA,5/15/1940,USA,40.807,13375,31.29,-92.46
USA,5/15/1940,USA,40.807,13375,34.08,-118.13
USA,5/15/1940,USA,40.807,13375,33.57,-117.73
USA,5/15/1940,USA,40.807,13375,33.11,-96.67
USA,5/15/1940,USA,40.807,13375,40.6,-75.48
USA,5/15/1940,USA,40.807,13375,45.49,-122.87
USA,5/15/1940,USA,40.807,13375,34.19,-118.13
USA,5/15/1940,USA,40.807,13375,28.66,-81.4
USA,5/15/1940,USA,40.807,13375,40.51,-78.4
USA,5/15/1940,USA,40.807,13375,35.2,-101.82
USA,5/15/1940,USA,40.807,13375,42.02,-93.63
USA,5/15/1940,USA,40.807,13375,33.84,-117.87
USA,5/15/1940,USA,40.807,13375,61.18,-149.19
USA,5/15/1940,USA,40.807,13375,40.09,-85.69
USA,5/15/1940,USA,40.807,13375,42.65,-71.14
USA,5/15/1940,USA,40.807,13375,42.28,-83.73
USA,5/15/1940,USA,40.807,13375,38.83,-77.21
USA,5/15/1940,USA,40.807,13375,37.99,-121.8
USA,5/15/1940,USA,40.807,13375,44.75,-93.2
USA,5/15/1940,USA,40.807,13375,34.53,-117.21
USA,5/15/1940,USA,40.807,13375,44.27,-88.4
USA,5/15/1940,USA,40.807,13375,34.13,-118.04
USA,5/15/1940,USA,40.807,13375,38.6,-121.38
USA,5/15/1940,USA,40.807,13375,38.88,-77.1
USA,5/15/1940,USA,40.807,13375,32.69,-97.13
USA,5/15/1940,USA,40.807,13375,42.42,-71.16
USA,5/15/1940,USA,40.807,13375,42.09,-87.98
USA,5/15/1940,USA,40.807,13375,39.82,-105.11
USA,5/15/1940,USA,40.807,13375,35.57,-82.55
USA,5/15/1940,USA,40.807,13375,39.09,-77.08
USA,5/15/1940,USA,40.807,13375,33.95,-83.39
USA,5/15/1940,USA,40.807,13375,33.76,-84.42
USA,5/15/1940,USA,40.807,13375,39.38,-74.45
USA,5/15/1940,USA,40.807,13375,41.93,-71.3
USA,5/15/1940,USA,40.807,13375,47.3,-122.21
USA,5/15/1940,USA,40.807,13375,32.59,-85.48
USA,5/15/1940,USA,40.807,13375,33.46,-81.99
USA,5/15/1940,USA,40.807,13375,41.77,-88.29
USA,5/15/1940,USA,40.807,13375,39.71,-104.73
